,Dates,Temperature_av,Wind_speed,Precipitation,Pressure,Heat_index
0,2015-01-01,23,8,0.0,1011,27
1,2015-01-02,28,19,0.0,1007,31
2,2015-01-03,25,26,0.1,1006,27
3,2015-01-04,20,17,0.0,1015,25
4,2015-01-05,22,14,0.0,1015,27
5,2015-01-06,25,6,0.0,1013,31
6,2015-01-07,27,12,0.1,1009,32
7,2015-01-08,22,3,0.4,1007,25
8,2015-01-09,18,23,0.5,1008,20
9,2015-01-10,17,19,0.3,1010,18
10,2015-01-11,20,13,0.0,1012,25
11,2015-01-12,22,8,0.3,1005,26
12,2015-01-13,19,29,0.5,1004,19
13,2015-01-14,18,18,0.1,1011,19
14,2015-01-15,18,12,0.1,1014,20
15,2015-01-16,18,12,0.0,1011,24
16,2015-01-17,19,14,0.0,1015,24
17,2015-01-18,18,10,0.0,1018,24
18,2015-01-19,21,7,0.0,1011,27
19,2015-01-20,24,17,0.0,999,28
20,2015-01-21,21,15,0.0,1010,26
21,2015-01-22,23,13,0.0,1008,29
22,2015-01-23,20,15,0.0,1009,25
23,2015-01-24,18,14,0.0,1007,24
24,2015-01-25,17,19,0.0,1014,20
25,2015-01-26,16,12,0.0,1017,20
26,2015-01-27,17,16,0.0,1017,24
27,2015-01-28,18,17,0.0,1017,24
28,2015-01-29,21,10,0.0,1016,25
29,2015-01-30,20,12,0.0,1015,25
30,2015-01-31,17,16,0.0,1015,24
31,2015-02-01,17,18,0.0,1018,19
32,2015-02-02,17,19,0.0,1022,24
33,2015-02-03,18,13,0.0,1022,25
34,2015-02-04,18,15,0.0,1020,25
35,2015-02-05,20,7,0.0,1020,26
36,2015-02-06,25,10,0.0,1018,31
37,2015-02-07,28,14,0.0,1015,33
38,2015-02-08,22,14,0.0,1022,27
39,2015-02-09,22,9,0.0,1022,28
40,2015-02-10,23,10,0.0,1020,29
41,2015-02-11,24,19,0.0,1019,30
42,2015-02-12,24,11,0.6,1019,30
43,2015-02-13,27,12,0.2,1015,32
44,2015-02-14,29,14,0.0,1014,33
45,2015-02-15,28,20,0.0,1012,32
