,Date,Temp,Wind,Precip,Pressure,Heat,Brightness,FRP,Count
0,2015-01-01,23.0,16.5,0.0,1011.5,29.5,336.464347826087,53.33739130434782,115.0
1,2015-01-02,23.5,17.25,0.25,1012.25,29.75,341.439053254438,92.58757396449705,169.0
2,2015-01-03,22.5,19.5,0.025,1013.5,28.75,337.67551622418887,78.26371681415925,339.0
3,2015-01-04,22.25,17.75,0.0,1013.25,30.25,339.40474452554747,82.56058394160583,274.0
4,2015-01-05,23.5,14.5,0.875,1013.25,29.5,336.27348066298333,76.94806629834254,362.0
5,2015-01-06,23.5,16.75,0.05,1013.75,29.75,348.27991543340386,102.37843551797049,473.0
6,2015-01-07,23.5,19.0,0.2,1013.0,30.0,333.26880466472284,66.95830903790089,343.0
7,2015-01-08,21.5,16.0,0.325,1011.25,27.25,334.5592857142858,51.921428571428564,140.0
8,2015-01-09,21.0,19.5,0.15,1010.0,27.5,340.1555555555554,94.12936507936504,126.0
9,2015-01-10,21.0,17.25,0.15,1010.75,27.0,335.2642424242425,112.80363636363633,165.0
10,2015-01-11,21.25,11.5,1.05,1011.0,26.75,322.4625,29.243749999999995,32.0
11,2015-01-12,21.75,15.0,0.375,1008.0,27.25,329.2578947368422,48.597368421052636,76.0
12,2015-01-13,21.25,19.75,0.675,1006.25,27.0,339.3028571428572,47.981428571428566,70.0
13,2015-01-14,22.0,17.25,0.05,1006.0,28.25,328.3044444444445,31.266666666666676,45.0
14,2015-01-15,22.0,17.0,0.15,1008.75,27.5,340.2169014084509,97.64788732394369,71.0
15,2015-01-16,22.0,13.5,0.0,1009.75,29.0,323.45652173913044,47.1695652173913,69.0
16,2015-01-17,23.25,8.25,0.0,1009.25,32.5,333.2285714285715,37.6936507936508,63.0
17,2015-01-18,22.5,11.75,0.0,1011.5,29.0,328.3937499999999,59.8453125,64.0
18,2015-01-19,21.5,16.25,0.975,1011.25,27.75,333.8714285714285,37.34047619047618,84.0
19,2015-01-20,21.25,17.5,0.6,1008.0,28.75,336.72473118279567,64.97634408602148,93.0
20,2015-01-21,23.25,20.0,0.5,1010.25,29.25,333.55943396226417,44.979245283018855,106.0
21,2015-01-22,23.5,19.0,0.05,1011.0,28.5,341.4627906976745,106.21860465116279,129.0
22,2015-01-23,22.25,20.0,4.375,1008.75,27.0,351.03611111111104,120.32986111111104,288.0
23,2015-01-24,21.25,21.0,0.025,1008.0,28.0,337.9,100.82864321608038,199.0
24,2015-01-25,22.5,10.75,0.0,1008.5,30.25,337.3075268817203,78.51505376344083,186.0
25,2015-01-26,20.75,17.5,0.525,1011.0,26.75,329.2966216216216,53.16756756756756,148.0
26,2015-01-27,22.0,17.5,1.0,1010.25,26.75,335.4724137931036,43.494827586206895,58.0
27,2015-01-28,21.75,23.25,0.55,1010.5,27.0,325.58461538461546,25.74615384615385,91.0
28,2015-01-29,20.75,22.0,0.125,1010.0,27.0,333.9336363636363,48.57545454545455,110.0
29,2015-01-30,22.25,12.25,0.0,1009.75,27.0,326.98796296296297,45.194444444444464,108.0
30,2015-01-31,21.75,13.5,0.025,1010.0,27.75,337.2327102803736,115.2644859813084,107.0
31,2015-02-01,21.75,12.5,0.0,1010.75,27.0,348.4083044982698,174.95501730103808,289.0
32,2015-02-02,22.0,20.75,0.275,1015.0,27.5,334.01555555555564,119.87155555555556,225.0
33,2015-02-03,21.75,20.5,0.05,1015.25,28.25,338.07239583333353,72.47864583333333,192.0
34,2015-02-04,21.25,21.0,0.175,1014.75,27.0,349.1129763130792,254.8775489186404,971.0
35,2015-02-05,21.25,18.0,0.025,1018.75,27.0,335.4744525547444,81.1700729927007,411.0
36,2015-02-06,22.5,21.5,0.075,1020.0,28.25,333.93397790055235,64.4682320441989,362.0
37,2015-02-07,23.75,15.75,0.05,1018.0,30.25,339.5486842105261,84.00953947368426,304.0
38,2015-02-08,23.25,13.25,0.0,1017.5,31.25,337.2907849829352,80.21774744027302,293.0
39,2015-02-09,22.5,18.5,0.075,1020.25,28.5,334.97865168539323,62.677528089887616,178.0
40,2015-02-10,23.0,20.0,0.25,1019.75,29.25,346.69763033175354,134.1104265402843,211.0
41,2015-02-11,24.0,19.0,0.1,1018.5,30.5,334.70439560439564,82.13571428571426,182.0
42,2015-02-12,23.75,17.5,0.275,1017.25,29.0,337.7092436974789,54.168907563025215,119.0
43,2015-02-13,24.0,19.25,0.4,1016.25,28.5,330.03253968253966,38.44841269841269,126.0
44,2015-02-14,23.75,21.0,0.0,1017.75,28.25,344.9577777777777,66.89185185185184,135.0
45,2015-02-15,23.25,16.0,0.375,1015.25,29.0,330.9451327433629,70.24601769911503,113.0
46,2015-02-16,22.25,18.25,0.025,1015.0,28.75,333.3607142857144,50.24374999999999,112.0
47,2015-02-17,23.0,18.5,0.075,1015.0,28.5,336.365625,76.260625,160.0
48,2015-02-18,23.0,20.5,0.45,1015.75,29.25,337.14044943820227,63.329213483146106,89.0
49,2015-02-19,23.25,22.5,0.825,1015.75,28.5,333.7229885057472,38.30344827586208,87.0
50,2015-02-20,23.75,15.75,1.875,1012.5,28.75,340.4577319587628,85.2484536082474,97.0
51,2015-02-21,23.25,18.25,4.8,1010.5,28.25,337.5800000000001,62.37272727272727,55.0
52,2015-02-22,23.5,23.0,0.075,1012.0,29.75,331.3082758620688,88.41379310344827,145.0
53,2015-02-23,21.75,20.75,0.15,1013.0,28.0,338.8609589041096,57.629452054794534,146.0
54,2015-02-24,22.5,23.5,0.875,1012.5,28.0,335.5741666666665,91.3333333333334,120.0
55,2015-02-25,21.5,18.0,0.6,1011.5,27.75,326.778947368421,38.92894736842105,76.0
56,2015-02-26,22.5,12.5,0.0,1008.0,28.25,328.0684210526315,49.04078947368421,76.0
57,2015-02-27,23.25,15.25,0.05,1008.25,28.5,326.92673267326734,61.70099009900985,101.0
58,2015-02-28,23.0,15.25,0.05,1009.0,29.0,332.1015625,60.126562499999984,64.0
59,2015-03-01,21.75,13.0,0.05,1009.25,29.25,320.8361702127661,23.67234042553191,47.0
60,2015-03-02,21.5,17.75,0.35,1014.25,27.0,339.88493150684945,41.63972602739726,73.0
61,2015-03-03,21.25,15.0,0.0,1015.75,27.25,334.7916666666667,85.16333333333333,120.0
62,2015-03-04,21.5,10.75,0.025,1014.75,27.25,329.7795081967213,36.661885245901644,244.0
63,2015-03-05,21.75,14.5,0.0,1013.75,28.25,331.0752032520326,137.06585365853655,246.0
64,2015-03-06,21.0,13.75,0.05,1012.0,25.5,332.9239583333333,50.43645833333332,192.0
65,2015-03-07,20.75,13.25,0.05,1012.0,26.5,330.02390243902437,59.9248780487805,205.0
66,2015-03-08,22.25,16.25,0.125,1012.25,27.75,329.24336917562755,50.97419354838712,279.0
67,2015-03-09,22.0,14.25,0.15,1012.75,30.5,334.127251732102,42.645034642032364,433.0
68,2015-03-10,21.0,11.25,0.05,1016.25,25.5,326.790306122449,48.34030612244894,392.0
69,2015-03-11,21.75,15.75,0.175,1016.75,27.75,334.0133440514471,53.52299035369778,622.0
70,2015-03-12,21.75,16.0,0.175,1016.5,27.25,333.78319838056706,50.53987854251011,494.0
71,2015-03-13,21.75,15.5,0.2,1016.75,27.0,330.6610909090909,48.26872727272729,275.0
72,2015-03-14,21.5,16.5,0.2,1015.25,26.5,335.0666666666668,93.00280701754387,285.0
73,2015-03-15,21.5,15.5,0.25,1014.25,26.5,329.15355191256833,63.71147540983605,183.0
74,2015-03-16,20.75,14.75,0.225,1014.25,26.75,332.39635761589386,48.64834437086088,302.0
75,2015-03-17,21.25,15.75,0.15,1015.25,27.0,333.54425675675657,97.35945945945947,296.0
76,2015-03-18,21.25,16.5,0.125,1016.0,26.25,336.4838526912181,57.261756373937644,353.0
77,2015-03-19,21.0,14.75,0.275,1016.0,26.75,335.1582191780824,62.12089041095891,292.0
78,2015-03-20,21.0,14.25,0.0,1015.5,28.0,337.2294617563741,79.55750708215301,353.0
79,2015-03-21,20.75,19.5,0.025,1020.0,27.25,333.849378330373,95.23392539964466,563.0
80,2015-03-22,21.0,16.5,0.575,1019.75,26.0,337.39946332737026,96.59141323792484,559.0
81,2015-03-23,19.75,19.0,0.075,1017.25,24.75,335.00881226053644,76.38045977011495,522.0
82,2015-03-24,19.25,14.25,0.325,1016.5,24.25,326.8412621359222,49.34757281553398,412.0
83,2015-03-25,19.0,15.0,0.125,1017.5,25.25,330.51894736842104,32.97852631578946,475.0
84,2015-03-26,20.25,14.0,0.075,1019.75,26.0,330.57394736842116,62.73500000000001,380.0
85,2015-03-27,19.75,14.25,0.35,1020.25,24.25,337.00259365994214,121.38530259365996,347.0
86,2015-03-28,18.5,15.5,0.3,1020.75,25.5,332.59530916844307,61.81428571428571,469.0
87,2015-03-29,19.75,12.5,0.0,1020.0,26.5,326.95999999999987,67.90404494382017,445.0
88,2015-03-30,20.5,13.0,0.0,1021.0,26.25,333.4161263507898,58.34197838736497,1203.0
89,2015-03-31,20.5,13.75,0.2,1020.75,26.0,326.2985294117644,66.03124999999993,816.0
90,2015-04-01,21.0,18.75,0.025,1019.25,26.25,328.3939805825242,35.974757281553394,515.0
91,2015-04-02,19.75,13.75,0.375,1018.75,25.5,334.43131672597883,86.87366548042708,562.0
92,2015-04-03,19.5,12.25,0.275,1019.25,24.75,333.8840722495894,48.684893267651866,609.0
93,2015-04-04,19.5,17.0,1.7,1015.75,24.25,337.94514435695527,76.48136482939636,381.0
94,2015-04-05,19.75,13.25,0.0,1011.25,25.0,341.26005221932115,152.38093994778075,383.0
95,2015-04-06,18.5,14.75,0.2,1011.0,23.5,333.9338815789473,97.46069078947376,608.0
96,2015-04-07,18.0,19.25,0.75,1013.75,22.5,329.36809523809535,70.34666666666669,420.0
97,2015-04-08,17.0,18.25,0.025,1017.25,21.75,326.6488226059658,48.60439560439568,637.0
98,2015-04-09,17.75,16.0,0.0,1019.0,21.25,328.49975698663485,49.79185905224789,823.0
99,2015-04-10,18.75,15.5,0.0,1018.75,23.75,327.6527256479002,53.8101876675603,1119.0
100,2015-04-11,18.5,15.75,0.15,1017.25,24.0,330.60013888888915,43.197222222222244,720.0
101,2015-04-12,18.5,16.0,0.0,1016.0,23.0,330.05890985324953,56.66268343815506,477.0
102,2015-04-13,18.0,14.75,0.125,1018.75,20.0,326.4121420389456,57.540549828178676,873.0
103,2015-04-14,18.75,13.75,0.125,1015.75,24.25,326.8419182948489,44.973889875666096,563.0
104,2015-04-15,18.75,13.25,0.125,1016.25,23.75,326.23419226957435,37.85906838453917,1009.0
105,2015-04-16,20.0,10.0,0.075,1023.75,25.25,328.408121330724,49.500684931506825,1022.0
106,2015-04-17,18.75,14.5,0.275,1020.5,22.5,324.78105147864164,29.009529025191693,913.0
107,2015-04-18,18.75,17.25,0.0,1018.5,24.25,322.6675461741425,34.83377308707121,379.0
108,2015-04-19,18.25,15.5,0.05,1023.0,22.25,324.30964539007067,39.76198581560289,705.0
109,2015-04-20,16.75,15.75,2.65,1024.0,20.75,324.8643931795384,36.68174523570713,997.0
110,2015-04-21,16.25,23.5,0.725,1020.75,20.0,320.64410526315817,48.16663157894732,950.0
111,2015-04-22,17.0,14.25,0.8,1016.5,21.5,324.1596205962056,28.2663956639567,1476.0
112,2015-04-23,17.25,9.5,0.2,1014.5,23.25,322.23720430107494,48.072258064516106,465.0
113,2015-04-24,17.0,14.75,0.275,1011.5,21.25,325.52520891364907,37.65626740947075,718.0
114,2015-04-25,17.0,11.5,0.0,1013.0,23.0,328.62921455938647,49.85977011494254,1044.0
115,2015-04-26,15.5,25.75,0.375,1016.5,20.5,323.0162032598276,33.1244487056568,1043.0
116,2015-04-27,16.0,12.0,0.075,1020.75,21.0,329.1173824130886,45.287985685071526,1956.0
117,2015-04-28,17.75,14.75,0.225,1018.25,22.25,323.16505546751137,46.73225039619653,1262.0
118,2015-04-29,17.5,15.0,0.8,1024.5,21.25,327.475137513751,36.83382838283824,1818.0
119,2015-04-30,17.75,14.25,2.65,1022.0,20.75,325.2427857142856,61.821214285714255,1400.0
120,2015-05-01,17.75,18.25,0.95,1019.0,20.25,325.16058358061383,35.82729970326415,2022.0
121,2015-05-02,17.25,12.0,0.6,1015.25,21.5,327.46099796334016,48.79633401222005,982.0
122,2015-05-03,17.25,19.0,0.025,1013.5,22.0,325.6759939984997,31.68499624906228,1333.0
123,2015-05-04,18.0,16.0,0.0,1013.5,21.75,326.99425393883274,42.53994439295633,1079.0
124,2015-05-05,16.75,17.5,0.0,1013.25,21.25,323.91113172541776,33.1032467532467,1078.0
125,2015-05-06,16.0,14.0,0.175,1018.0,21.75,328.4086001255497,37.47332077840553,1593.0
126,2015-05-07,15.25,16.75,0.025,1020.75,21.25,324.4301955990219,42.48966992665029,1636.0
127,2015-05-08,14.75,12.75,0.05,1020.0,21.0,324.39530878859875,31.40742280285037,1684.0
128,2015-05-09,15.25,17.25,0.1,1018.25,20.75,324.51567862714563,32.54134165366615,1282.0
129,2015-05-10,15.75,17.0,0.05,1015.5,21.5,325.8724752475247,34.325940594059404,1515.0
130,2015-05-11,16.5,18.75,0.0,1017.0,21.75,326.5875609756095,37.677154471544654,1230.0
131,2015-05-12,16.0,15.0,0.0,1018.25,21.5,324.805642361111,36.83680555555552,1152.0
132,2015-05-13,15.0,19.75,0.0,1022.0,19.5,329.4480684596577,56.648117359413156,2045.0
133,2015-05-14,14.0,16.25,0.075,1026.75,19.0,322.35352785145864,32.456021220159066,1885.0
134,2015-05-15,16.25,21.0,0.075,1027.25,20.25,324.03549639489717,31.168885191347695,1803.0
135,2015-05-16,17.75,27.5,0.0,1026.0,19.25,324.2110896817741,52.66335583413697,1037.0
136,2015-05-17,16.25,17.75,0.0,1023.5,19.5,327.0689817936613,38.64706675657454,1483.0
137,2015-05-18,16.5,16.25,0.175,1022.25,20.5,327.6560900716478,62.99334698055272,977.0
138,2015-05-19,16.0,15.5,0.025,1017.5,19.0,328.3359016393438,55.26311475409834,610.0
139,2015-05-20,15.75,13.0,0.0,1019.5,20.75,328.73968446601936,47.770024271844655,824.0
140,2015-05-21,15.5,13.25,0.125,1020.75,19.25,322.40858778625983,39.49713740458015,524.0
141,2015-05-22,14.75,24.0,0.95,1020.75,18.5,325.3492774566473,29.964161849710997,692.0
142,2015-05-23,14.0,18.5,0.05,1024.25,18.5,319.4569640062596,30.184663536776245,639.0
143,2015-05-24,14.5,13.25,0.0,1026.0,20.25,327.9006191950463,34.62982456140355,969.0
144,2015-05-25,15.0,11.75,0.025,1026.0,20.0,324.5962226640159,43.13876739562626,503.0
145,2015-05-26,15.0,12.0,0.0,1024.5,20.25,326.8639867841412,37.78821585903079,908.0
146,2015-05-27,15.0,11.75,0.025,1021.25,19.75,323.95778985507235,33.07826086956521,552.0
147,2015-05-28,14.75,10.0,0.0,1020.75,20.5,321.4501976284585,34.07905138339924,506.0
148,2015-05-29,15.25,10.0,0.05,1022.0,20.5,327.71936170212797,39.3957446808511,470.0
