Temp,Wind,Precip,Pressure,Heat,Brightness,FRP,Count,month
23,16.5,0,1011.5,29.5,336.4643478,53.3373913,115,January
23.5,17.25,0.25,1012.25,29.75,341.4390533,92.58757396,169,January
22.5,19.5,0.025,1013.5,28.75,337.6755162,78.26371681,339,January
22.25,17.75,0,1013.25,30.25,339.4047445,82.56058394,274,January
23.5,14.5,0.875,1013.25,29.5,336.2734807,76.9480663,362,January
23.5,16.75,0.05,1013.75,29.75,348.2799154,102.3784355,473,January
23.5,19,0.2,1013,30,333.2688047,66.95830904,343,January
21.5,16,0.325,1011.25,27.25,334.5592857,51.92142857,140,January
21,19.5,0.15,1010,27.5,340.1555556,94.12936508,126,January
21,17.25,0.15,1010.75,27,335.2642424,112.8036364,165,January
21.25,11.5,1.05,1011,26.75,322.4625,29.24375,32,January
21.75,15,0.375,1008,27.25,329.2578947,48.59736842,76,January
21.25,19.75,0.675,1006.25,27,339.3028571,47.98142857,70,January
22,17.25,0.05,1006,28.25,328.3044444,31.26666667,45,January
22,17,0.15,1008.75,27.5,340.2169014,97.64788732,71,January
22,13.5,0,1009.75,29,323.4565217,47.16956522,69,January
23.25,8.25,0,1009.25,32.5,333.2285714,37.69365079,63,January
22.5,11.75,0,1011.5,29,328.39375,59.8453125,64,January
21.5,16.25,0.975,1011.25,27.75,333.8714286,37.34047619,84,January
21.25,17.5,0.6,1008,28.75,336.7247312,64.97634409,93,January
23.25,20,0.5,1010.25,29.25,333.559434,44.97924528,106,January
23.5,19,0.05,1011,28.5,341.4627907,106.2186047,129,January
22.25,20,4.375,1008.75,27,351.0361111,120.3298611,288,January
21.25,21,0.025,1008,28,337.9,100.8286432,199,January
22.5,10.75,0,1008.5,30.25,337.3075269,78.51505376,186,January
20.75,17.5,0.525,1011,26.75,329.2966216,53.16756757,148,January
22,17.5,1,1010.25,26.75,335.4724138,43.49482759,58,January
21.75,23.25,0.55,1010.5,27,325.5846154,25.74615385,91,January
20.75,22,0.125,1010,27,333.9336364,48.57545455,110,January
22.25,12.25,0,1009.75,27,326.987963,45.19444444,108,January
21.75,13.5,0.025,1010,27.75,337.2327103,115.264486,107,January
21.75,12.5,0,1010.75,27,348.4083045,174.9550173,289,February
22,20.75,0.275,1015,27.5,334.0155556,119.8715556,225,February
21.75,20.5,0.05,1015.25,28.25,338.0723958,72.47864583,192,February
21.25,21,0.175,1014.75,27,349.1129763,254.8775489,971,February
21.25,18,0.025,1018.75,27,335.4744526,81.17007299,411,February
22.5,21.5,0.075,1020,28.25,333.9339779,64.46823204,362,February
23.75,15.75,0.05,1018,30.25,339.5486842,84.00953947,304,February
23.25,13.25,0,1017.5,31.25,337.290785,80.21774744,293,February
22.5,18.5,0.075,1020.25,28.5,334.9786517,62.67752809,178,February
23,20,0.25,1019.75,29.25,346.6976303,134.1104265,211,February
24,19,0.1,1018.5,30.5,334.7043956,82.13571429,182,February
23.75,17.5,0.275,1017.25,29,337.7092437,54.16890756,119,February
24,19.25,0.4,1016.25,28.5,330.0325397,38.4484127,126,February
23.75,21,0,1017.75,28.25,344.9577778,66.89185185,135,February
23.25,16,0.375,1015.25,29,330.9451327,70.2460177,113,February
22.25,18.25,0.025,1015,28.75,333.3607143,50.24375,112,February
23,18.5,0.075,1015,28.5,336.365625,76.260625,160,February
23,20.5,0.45,1015.75,29.25,337.1404494,63.32921348,89,February
23.25,22.5,0.825,1015.75,28.5,333.7229885,38.30344828,87,February
23.75,15.75,1.875,1012.5,28.75,340.457732,85.24845361,97,February
23.25,18.25,4.8,1010.5,28.25,337.58,62.37272727,55,February
23.5,23,0.075,1012,29.75,331.3082759,88.4137931,145,February
21.75,20.75,0.15,1013,28,338.8609589,57.62945205,146,February
22.5,23.5,0.875,1012.5,28,335.5741667,91.33333333,120,February
21.5,18,0.6,1011.5,27.75,326.7789474,38.92894737,76,February
22.5,12.5,0,1008,28.25,328.0684211,49.04078947,76,February
23.25,15.25,0.05,1008.25,28.5,326.9267327,61.7009901,101,February
23,15.25,0.05,1009,29,332.1015625,60.1265625,64,February
21.75,13,0.05,1009.25,29.25,320.8361702,23.67234043,47,March
21.5,17.75,0.35,1014.25,27,339.8849315,41.63972603,73,March
21.25,15,0,1015.75,27.25,334.7916667,85.16333333,120,March
21.5,10.75,0.025,1014.75,27.25,329.7795082,36.66188525,244,March
21.75,14.5,0,1013.75,28.25,331.0752033,137.0658537,246,March
21,13.75,0.05,1012,25.5,332.9239583,50.43645833,192,March
20.75,13.25,0.05,1012,26.5,330.0239024,59.92487805,205,March
22.25,16.25,0.125,1012.25,27.75,329.2433692,50.97419355,279,March
22,14.25,0.15,1012.75,30.5,334.1272517,42.64503464,433,March
21,11.25,0.05,1016.25,25.5,326.7903061,48.34030612,392,March
21.75,15.75,0.175,1016.75,27.75,334.0133441,53.52299035,622,March
21.75,16,0.175,1016.5,27.25,333.7831984,50.53987854,494,March
21.75,15.5,0.2,1016.75,27,330.6610909,48.26872727,275,March
21.5,16.5,0.2,1015.25,26.5,335.0666667,93.00280702,285,March
21.5,15.5,0.25,1014.25,26.5,329.1535519,63.71147541,183,March
20.75,14.75,0.225,1014.25,26.75,332.3963576,48.64834437,302,March
21.25,15.75,0.15,1015.25,27,333.5442568,97.35945946,296,March
21.25,16.5,0.125,1016,26.25,336.4838527,57.26175637,353,March
21,14.75,0.275,1016,26.75,335.1582192,62.12089041,292,March
21,14.25,0,1015.5,28,337.2294618,79.55750708,353,March
20.75,19.5,0.025,1020,27.25,333.8493783,95.2339254,563,March
21,16.5,0.575,1019.75,26,337.3994633,96.59141324,559,March
19.75,19,0.075,1017.25,24.75,335.0088123,76.38045977,522,March
19.25,14.25,0.325,1016.5,24.25,326.8412621,49.34757282,412,March
19,15,0.125,1017.5,25.25,330.5189474,32.97852632,475,March
20.25,14,0.075,1019.75,26,330.5739474,62.735,380,March
19.75,14.25,0.35,1020.25,24.25,337.0025937,121.3853026,347,March
18.5,15.5,0.3,1020.75,25.5,332.5953092,61.81428571,469,March
19.75,12.5,0,1020,26.5,326.96,67.90404494,445,March
20.5,13,0,1021,26.25,333.4161264,58.34197839,1203,March
20.5,13.75,0.2,1020.75,26,326.2985294,66.03125,816,March
21,18.75,0.025,1019.25,26.25,328.3939806,35.97475728,515,April
19.75,13.75,0.375,1018.75,25.5,334.4313167,86.87366548,562,April
19.5,12.25,0.275,1019.25,24.75,333.8840722,48.68489327,609,April
19.5,17,1.7,1015.75,24.25,337.9451444,76.48136483,381,April
19.75,13.25,0,1011.25,25,341.2600522,152.3809399,383,April
18.5,14.75,0.2,1011,23.5,333.9338816,97.46069079,608,April
18,19.25,0.75,1013.75,22.5,329.3680952,70.34666667,420,April
17,18.25,0.025,1017.25,21.75,326.6488226,48.6043956,637,April
17.75,16,0,1019,21.25,328.499757,49.79185905,823,April
18.75,15.5,0,1018.75,23.75,327.6527256,53.81018767,1119,April
18.5,15.75,0.15,1017.25,24,330.6001389,43.19722222,720,April
18.5,16,0,1016,23,330.0589099,56.66268344,477,April
18,14.75,0.125,1018.75,20,326.412142,57.54054983,873,April
18.75,13.75,0.125,1015.75,24.25,326.8419183,44.97388988,563,April
18.75,13.25,0.125,1016.25,23.75,326.2341923,37.85906838,1009,April
20,10,0.075,1023.75,25.25,328.4081213,49.50068493,1022,April
18.75,14.5,0.275,1020.5,22.5,324.7810515,29.00952903,913,April
18.75,17.25,0,1018.5,24.25,322.6675462,34.83377309,379,April
18.25,15.5,0.05,1023,22.25,324.3096454,39.76198582,705,April
16.75,15.75,2.65,1024,20.75,324.8643932,36.68174524,997,April
16.25,23.5,0.725,1020.75,20,320.6441053,48.16663158,950,April
17,14.25,0.8,1016.5,21.5,324.1596206,28.26639566,1476,April
17.25,9.5,0.2,1014.5,23.25,322.2372043,48.07225806,465,April
17,14.75,0.275,1011.5,21.25,325.5252089,37.65626741,718,April
17,11.5,0,1013,23,328.6292146,49.85977011,1044,April
15.5,25.75,0.375,1016.5,20.5,323.0162033,33.12444871,1043,April
16,12,0.075,1020.75,21,329.1173824,45.28798569,1956,April
17.75,14.75,0.225,1018.25,22.25,323.1650555,46.7322504,1262,April
17.5,15,0.8,1024.5,21.25,327.4751375,36.83382838,1818,April
17.75,14.25,2.65,1022,20.75,325.2427857,61.82121429,1400,April
17.75,18.25,0.95,1019,20.25,325.1605836,35.8272997,2022,May
17.25,12,0.6,1015.25,21.5,327.460998,48.79633401,982,May
17.25,19,0.025,1013.5,22,325.675994,31.68499625,1333,May
18,16,0,1013.5,21.75,326.9942539,42.53994439,1079,May
16.75,17.5,0,1013.25,21.25,323.9111317,33.10324675,1078,May
16,14,0.175,1018,21.75,328.4086001,37.47332078,1593,May
15.25,16.75,0.025,1020.75,21.25,324.4301956,42.48966993,1636,May
14.75,12.75,0.05,1020,21,324.3953088,31.4074228,1684,May
15.25,17.25,0.1,1018.25,20.75,324.5156786,32.54134165,1282,May
15.75,17,0.05,1015.5,21.5,325.8724752,34.32594059,1515,May
16.5,18.75,0,1017,21.75,326.587561,37.67715447,1230,May
16,15,0,1018.25,21.5,324.8056424,36.83680556,1152,May
15,19.75,0,1022,19.5,329.4480685,56.64811736,2045,May
14,16.25,0.075,1026.75,19,322.3535279,32.45602122,1885,May
16.25,21,0.075,1027.25,20.25,324.0354964,31.16888519,1803,May
17.75,27.5,0,1026,19.25,324.2110897,52.66335583,1037,May
16.25,17.75,0,1023.5,19.5,327.0689818,38.64706676,1483,May
16.5,16.25,0.175,1022.25,20.5,327.6560901,62.99334698,977,May
16,15.5,0.025,1017.5,19,328.3359016,55.26311475,610,May
15.75,13,0,1019.5,20.75,328.7396845,47.77002427,824,May
15.5,13.25,0.125,1020.75,19.25,322.4085878,39.4971374,524,May
14.75,24,0.95,1020.75,18.5,325.3492775,29.96416185,692,May
14,18.5,0.05,1024.25,18.5,319.456964,30.18466354,639,May
14.5,13.25,0,1026,20.25,327.9006192,34.62982456,969,May
15,11.75,0.025,1026,20,324.5962227,43.1387674,503,May
15,12,0,1024.5,20.25,326.8639868,37.78821586,908,May
15,11.75,0.025,1021.25,19.75,323.9577899,33.07826087,552,May
14.75,10,0,1020.75,20.5,321.4501976,34.07905138,506,May
15.25,10,0.05,1022,20.5,327.7193617,39.39574468,470,May
15,7.5,0,1021,20.75,321.3813765,35.32955466,247,May
15,13,0,1016.75,19.75,327.2683794,60.52529644,253,May
14,20.75,0,1018.25,18.25,323.6803828,52.95215311,209,June
12.25,14.75,0,1020.5,16.5,331.4568928,47.21389497,914,June
13.25,13.5,0,1020.5,17.25,322.5702703,41.52825553,407,June
13.75,12,0.225,1019.25,20.25,327.520864,51.27977941,1088,June
13.5,14.5,0,1019.75,18.5,326.2288698,40.61461916,814,June
14.5,17.75,0.025,1024.25,19,324.1044993,39.21886792,689,June
15.25,17.5,0,1024.25,20,326.16,33.38666667,660,June
15,15.25,0.025,1022.75,21,323.1332692,39.11634615,520,June
15.75,11.75,0,1023.5,21.75,324.413242,27.75616438,438,June
14.75,16.75,0.175,1027.5,19.5,320.6151515,39.72462121,264,June
15.25,16,0.3,1028,19.25,320.6342432,33.34665012,403,June
15.25,17,0.025,1026,18.5,324.2473684,45.38086124,209,June
15,16,0.025,1024.25,19.25,323.2921212,50.60727273,165,June
15,12.5,0.2,1023.25,18.75,325.4995098,41.98823529,204,June
15.5,13,0.15,1022,19.75,323.2411429,47.11771429,175,June
15.5,12.75,1,1018,19.5,329.3059524,39.71944444,252,June
16.25,16.75,0.25,1013.25,19,332.0630435,56.24130435,230,June
15.25,14.5,0.2,1015.25,18.5,330.0969101,52.38426966,356,June
13.5,19.25,0.325,1017.5,17,324.345749,46.10566802,247,June
13.25,16,0,1019.75,16.75,323.7069686,54.3543554,287,June
13,22.75,0,1020.25,15.25,325.6625397,41.99174603,315,June
13.75,19.25,0.025,1022,17,324.5876972,49.72176656,317,June
13,13.25,0.025,1023,17.75,326.2324022,37.71592179,358,June
13.5,12.25,0.2,1023.75,17.75,330.784104,60.1367052,346,June
13.5,15.5,0.6,1024.25,17.5,328.3761012,36.16541706,1067,June
13.5,15.5,0.325,1028.75,17.75,331.2234637,112.5778771,895,June
13,11.75,0.05,1029.5,18.5,330.8307971,65.7544686,828,June
13.5,10.75,0.075,1029.75,19.5,329.6529691,69.26128266,421,June
13.75,7.5,0.325,1028.25,19.25,325.0945892,39.88857715,499,June
14,8.75,0,1025.5,19.25,328.2247283,44.71222826,368,June
13.75,9.5,0.525,1024,18.5,323.0591954,33.36149425,174,July
13.25,18.5,0.025,1021.75,17.5,331.8674651,48.65369261,501,July
12.25,14.5,0,1023.75,16.25,319.1086957,42.53804348,184,July
12.5,10.25,0,1021.25,16.75,324.9118616,24.56046129,607,July
13.25,9.75,0,1019.5,17.5,322.2757991,49.21141553,219,July
13.5,15.5,0.075,1016.75,18.25,322.0448819,26.44370079,254,July
13.75,16,0.075,1019,16.75,323.1585366,35.50243902,287,July
12.5,17,0.15,1024.25,15.75,323.3524027,44.00938215,437,July
12,12,0.075,1024.25,17,327.076311,28.3840868,553,July
12.75,13.5,0.15,1020.25,16.25,319.7417808,48.57226027,292,July
12,16.5,0.025,1016.5,17.25,331.0719689,33.4942158,899,July
11.25,25,0.15,1015.75,14.25,321.2313953,37.01312292,602,July
11.75,27.25,0.175,1016.25,15.5,322.8699531,29.29915493,1065,July
11.5,21.25,0.475,1017.75,16,323.3296124,41.73007752,645,July
10.75,12.75,0.05,1020.5,16,321.9296034,30.96161473,706,July
