,Dates,Temperature_av,Wind_speed,Precipitation,Pressure,Heat_index
0,2015-01-01,19,23,0.0,1009,27
1,2015-01-02,17,21,0.0,1009,25
2,2015-01-03,16,13,0.0,1013,27
3,2015-01-04,19,17,0.0,1010,32
4,2015-01-05,26,18,0.0,1006,37
5,2015-01-06,22,22,0.0,1007,31
6,2015-01-07,20,19,0.0,1010,30
7,2015-01-08,17,20,0.0,1013,27
8,2015-01-09,16,19,0.0,1013,26
9,2015-01-10,17,21,0.0,1013,26
10,2015-01-11,19,13,0.0,1009,29
11,2015-01-12,19,19,0.0,1007,29
12,2015-01-13,19,22,0.0,1007,30
13,2015-01-14,18,19,0.0,1010,28
14,2015-01-15,19,23,0.0,1014,27
15,2015-01-16,19,22,0.0,1015,27
16,2015-01-17,21,8,0.0,1008,36
17,2015-01-18,21,15,0.0,1010,27
18,2015-01-19,19,13,0.0,1011,26
19,2015-01-20,15,11,0.0,1011,33
20,2015-01-21,23,23,0.0,1012,33
21,2015-01-22,22,24,0.0,1015,26
22,2015-01-23,21,24,0.0,1013,27
23,2015-01-24,17,24,0.0,1014,26
24,2015-01-25,20,16,0.0,1014,27
25,2015-01-26,20,14,0.0,1009,30
26,2015-01-27,26,13,0.0,1005,33
27,2015-01-28,27,21,0.0,1006,32
28,2015-01-29,20,22,0.0,1007,31
29,2015-01-30,26,10,0.0,1010,30
30,2015-01-31,24,17,0.0,1013,29
31,2015-02-01,24,11,0.0,1012,30
32,2015-02-02,26,9,0.0,1014,31
33,2015-02-03,24,11,0.0,1012,34
34,2015-02-04,23,15,0.0,1013,30
35,2015-02-05,20,17,0.0,1014,29
36,2015-02-06,20,23,0.0,1016,28
37,2015-02-07,22,17,0.0,1015,31
38,2015-02-08,23,13,0.0,1013,35
39,2015-02-09,21,16,0.0,1017,30
40,2015-02-10,21,21,0.0,1017,32
41,2015-02-11,24,11,0.0,1016,34
42,2015-02-12,24,15,0.0,1013,29
43,2015-02-13,22,18,0.0,1009,26
44,2015-02-14,19,25,0.0,1017,24
45,2015-02-15,17,16,0.0,1017,26
46,2015-02-16,21,13,0.0,1013,32
47,2015-02-17,24,9,0.0,1012,31
48,2015-02-18,23,19,0.0,1012,30
49,2015-02-19,20,22,0.0,1014,29
50,2015-02-20,21,21,0.0,1012,27
51,2015-02-21,18,23,0.0,1012,26
52,2015-02-22,18,24,0.0,1013,27
53,2015-02-23,18,15,0.0,1012,29
54,2015-02-24,26,21,0.0,1006,33
55,2015-02-25,21,16,0.0,1006,33
56,2015-02-26,22,15,0.0,1004,31
57,2015-02-27,21,27,0.0,1009,25
58,2015-02-28,20,12,0.0,1014,27
59,2015-03-01,21,22,0.1,1007,26
60,2015-03-02,20,16,0.0,1014,26
61,2015-03-03,19,15,0.0,1018,27
