,Dates,Temperature_av,Wind_speed,Precipitation,Pressure,Heat_index
0,2015-01-01,24,17,0.0,1012,32
1,2015-01-02,24,10,0.1,1017,32
2,2015-01-03,25,21,0.0,1017,32
3,2015-01-04,26,17,0.0,1013,35
4,2015-01-05,22,8,0.0,1018,26
5,2015-01-06,23,16,0.2,1019,28
6,2015-01-07,24,21,0.0,1017,30
7,2015-01-08,24,22,0.0,1012,29
8,2015-01-09,26,18,0.0,1008,34
9,2015-01-10,25,10,0.0,1009,34
10,2015-01-11,21,10,3.2,1013,24
11,2015-01-12,22,29,0.4,1012,26
12,2015-01-13,23,13,0.0,1006,29
13,2015-01-14,26,17,0.0,998,32
14,2015-01-15,23,18,0.2,1004,26
15,2015-01-16,24,8,0.0,1006,31
16,2015-01-17,25,4,0.0,1007,33
17,2015-01-18,23,15,0.0,1010,28
18,2015-01-19,20,22,0.4,1015,25
19,2015-01-20,21,23,2.3,1012,25
20,2015-01-21,23,20,2.0,1011,28
21,2015-01-22,24,16,0.2,1012,29
22,2015-01-23,25,20,0.0,1007,31
23,2015-01-24,25,21,0.1,1006,31
24,2015-01-25,26,3,0.0,1002,37
25,2015-01-26,20,20,0.8,1013,21
26,2015-01-27,20,15,3.2,1013,20
27,2015-01-28,20,23,0.4,1013,24
28,2015-01-29,19,32,0.0,1010,24
29,2015-01-30,20,16,0.0,1006,25
30,2015-01-31,21,7,0.0,1006,26
31,2015-02-01,21,18,0.0,1008,26
32,2015-02-02,21,30,0.2,1015,25
33,2015-02-03,21,21,0.0,1017,25
34,2015-02-04,21,23,0.5,1015,25
35,2015-02-05,21,13,0.1,1024,25
36,2015-02-06,21,15,0.0,1025,26
37,2015-02-07,22,11,0.0,1022,29
38,2015-02-08,24,10,0.0,1017,34
39,2015-02-09,23,22,0.3,1024,26
40,2015-02-10,24,15,0.9,1023,28
41,2015-02-11,24,19,0.3,1021,29
42,2015-02-12,23,16,0.0,1020,28
43,2015-02-13,23,17,0.1,1023,27
44,2015-02-14,23,19,0.0,1021,28
45,2015-02-15,24,9,1.2,1016,30
46,2015-02-16,24,20,0.0,1015,29
47,2015-02-17,24,22,0.0,1017,28
48,2015-02-18,24,22,0.1,1019,28
49,2015-02-19,23,21,1.4,1020,27
50,2015-02-20,23,15,0.2,1016,28
51,2015-02-21,22,15,1.7,1016,26
52,2015-02-22,23,18,0.3,1017,27
53,2015-02-23,23,15,0.2,1014,28
54,2015-02-24,22,31,3.5,1014,26
55,2015-02-25,21,20,2.1,1015,24
