,Date,Temp,Wind,Precip,Pressure,Heat
0,2015-01-01,23,16.5,0,1011.5,29.5
1,2015-01-02,23.5,17.25,0.25,1012.25,29.75
2,2015-01-03,22.5,19.5,0.025,1013.5,28.75
3,2015-01-04,22.25,17.75,0,1013.25,30.25
4,2015-01-05,23.5,14.5,0.875,1013.25,29.5
5,2015-01-06,23.5,16.75,0.05,1013.75,29.75
6,2015-01-07,23.5,19,0.2,1013,30
7,2015-01-08,21.5,16,0.325,1011.25,27.25
8,2015-01-09,21,19.5,0.15,1010,27.5
9,2015-01-10,21,17.25,0.15,1010.75,27
10,2015-01-11,21.25,11.5,1.05,1011,26.75
11,2015-01-12,21.75,15,0.375,1008,27.25
12,2015-01-13,21.25,19.75,0.675,1006.25,27
13,2015-01-14,22,17.25,0.05,1006,28.25
14,2015-01-15,22,17,0.15,1008.75,27.5
15,2015-01-16,22,13.5,0,1009.75,29
16,2015-01-17,23.25,8.25,0,1009.25,32.5
17,2015-01-18,22.5,11.75,0,1011.5,29
18,2015-01-19,21.5,16.25,0.975,1011.25,27.75
19,2015-01-20,21.25,17.5,0.6,1008,28.75
20,2015-01-21,23.25,20,0.5,1010.25,29.25
21,2015-01-22,23.5,19,0.05,1011,28.5
22,2015-01-23,22.25,20,4.375,1008.75,27
23,2015-01-24,21.25,21,0.025,1008,28
24,2015-01-25,22.5,10.75,0,1008.5,30.25
25,2015-01-26,20.75,17.5,0.525,1011,26.75
26,2015-01-27,22,17.5,1,1010.25,26.75
27,2015-01-28,21.75,23.25,0.55,1010.5,27
28,2015-01-29,20.75,22,0.125,1010,27
29,2015-01-30,22.25,12.25,0,1009.75,27
30,2015-01-31,21.75,13.5,0.025,1010,27.75
31,2015-02-01,21.75,12.5,0,1010.75,27
32,2015-02-02,22,20.75,0.275,1015,27.5
33,2015-02-03,21.75,20.5,0.05,1015.25,28.25
34,2015-02-04,21.25,21,0.175,1014.75,27
35,2015-02-05,21.25,18,0.025,1018.75,27
36,2015-02-06,22.5,21.5,0.075,1020,28.25
37,2015-02-07,23.75,15.75,0.05,1018,30.25
38,2015-02-08,23.25,13.25,0,1017.5,31.25
39,2015-02-09,22.5,18.5,0.075,1020.25,28.5
40,2015-02-10,23,20,0.25,1019.75,29.25
41,2015-02-11,24,19,0.1,1018.5,30.5
42,2015-02-12,23.75,17.5,0.275,1017.25,29
43,2015-02-13,24,19.25,0.4,1016.25,28.5
44,2015-02-14,23.75,21,0,1017.75,28.25
45,2015-02-15,23.25,16,0.375,1015.25,29
46,2015-02-16,22.25,18.25,0.025,1015,28.75
47,2015-02-17,23,18.5,0.075,1015,28.5
48,2015-02-18,23,20.5,0.45,1015.75,29.25
49,2015-02-19,23.25,22.5,0.825,1015.75,28.5
50,2015-02-20,23.75,15.75,1.875,1012.5,28.75
51,2015-02-21,23.25,18.25,4.8,1010.5,28.25
52,2015-02-22,23.5,23,0.075,1012,29.75
53,2015-02-23,21.75,20.75,0.15,1013,28
54,2015-02-24,22.5,23.5,0.875,1012.5,28
55,2015-02-25,21.5,18,0.6,1011.5,27.75
56,2015-02-26,22.5,12.5,0,1008,28.25
57,2015-02-27,23.25,15.25,0.05,1008.25,28.5
58,2015-02-28,23,15.25,0.05,1009,29
59,2015-03-01,21.75,13,0.05,1009.25,29.25
60,2015-03-02,21.5,17.75,0.35,1014.25,27
61,2015-03-03,21.25,15,0,1015.75,27.25
62,2015-03-04,21.5,10.75,0.025,1014.75,27.25
63,2015-03-05,21.75,14.5,0,1013.75,28.25
64,2015-03-06,21,13.75,0.05,1012,25.5
65,2015-03-07,20.75,13.25,0.05,1012,26.5
66,2015-03-08,22.25,16.25,0.125,1012.25,27.75
67,2015-03-09,22,14.25,0.15,1012.75,30.5
68,2015-03-10,21,11.25,0.05,1016.25,25.5
69,2015-03-11,21.75,15.75,0.175,1016.75,27.75
70,2015-03-12,21.75,16,0.175,1016.5,27.25
71,2015-03-13,21.75,15.5,0.2,1016.75,27
72,2015-03-14,21.5,16.5,0.2,1015.25,26.5
73,2015-03-15,21.5,15.5,0.25,1014.25,26.5
74,2015-03-16,20.75,14.75,0.225,1014.25,26.75
75,2015-03-17,21.25,15.75,0.15,1015.25,27
76,2015-03-18,21.25,16.5,0.125,1016,26.25
77,2015-03-19,21,14.75,0.275,1016,26.75
78,2015-03-20,21,14.25,0,1015.5,28
79,2015-03-21,20.75,19.5,0.025,1020,27.25
80,2015-03-22,21,16.5,0.575,1019.75,26
81,2015-03-23,19.75,19,0.075,1017.25,24.75
82,2015-03-24,19.25,14.25,0.325,1016.5,24.25
83,2015-03-25,19,15,0.125,1017.5,25.25
84,2015-03-26,20.25,14,0.075,1019.75,26
85,2015-03-27,19.75,14.25,0.35,1020.25,24.25
86,2015-03-28,18.5,15.5,0.3,1020.75,25.5
87,2015-03-29,19.75,12.5,0,1020,26.5
88,2015-03-30,20.5,13,0,1021,26.25
89,2015-03-31,20.5,13.75,0.2,1020.75,26
90,2015-04-01,21,18.75,0.025,1019.25,26.25
91,2015-04-02,19.75,13.75,0.375,1018.75,25.5
92,2015-04-03,19.5,12.25,0.275,1019.25,24.75
93,2015-04-04,19.5,17,1.7,1015.75,24.25
94,2015-04-05,19.75,13.25,0,1011.25,25
95,2015-04-06,18.5,14.75,0.2,1011,23.5
96,2015-04-07,18,19.25,0.75,1013.75,22.5
97,2015-04-08,17,18.25,0.025,1017.25,21.75
98,2015-04-09,17.75,16,0,1019,21.25
99,2015-04-10,18.75,15.5,0,1018.75,23.75
100,2015-04-11,18.5,15.75,0.15,1017.25,24
101,2015-04-12,18.5,16,0,1016,23
102,2015-04-13,18,14.75,0.125,1018.75,20
103,2015-04-14,18.75,13.75,0.125,1015.75,24.25
104,2015-04-15,18.75,13.25,0.125,1016.25,23.75
105,2015-04-16,20,10,0.075,1023.75,25.25
106,2015-04-17,18.75,14.5,0.275,1020.5,22.5
107,2015-04-18,18.75,17.25,0,1018.5,24.25
108,2015-04-19,18.25,15.5,0.05,1023,22.25
109,2015-04-20,16.75,15.75,2.65,1024,20.75
110,2015-04-21,16.25,23.5,0.725,1020.75,20
111,2015-04-22,17,14.25,0.8,1016.5,21.5
112,2015-04-23,17.25,9.5,0.2,1014.5,23.25
113,2015-04-24,17,14.75,0.275,1011.5,21.25
114,2015-04-25,17,11.5,0,1013,23
115,2015-04-26,15.5,25.75,0.375,1016.5,20.5
116,2015-04-27,16,12,0.075,1020.75,21
117,2015-04-28,17.75,14.75,0.225,1018.25,22.25
118,2015-04-29,17.5,15,0.8,1024.5,21.25
119,2015-04-30,17.75,14.25,2.65,1022,20.75
120,2015-05-01,17.75,18.25,0.95,1019,20.25
121,2015-05-02,17.25,12,0.6,1015.25,21.5
122,2015-05-03,17.25,19,0.025,1013.5,22
123,2015-05-04,18,16,0,1013.5,21.75
124,2015-05-05,16.75,17.5,0,1013.25,21.25
125,2015-05-06,16,14,0.175,1018,21.75
126,2015-05-07,15.25,16.75,0.025,1020.75,21.25
127,2015-05-08,14.75,12.75,0.05,1020,21
128,2015-05-09,15.25,17.25,0.1,1018.25,20.75
129,2015-05-10,15.75,17,0.05,1015.5,21.5
